Country,EdLevel,Age,YearsCodePro,Salary
Germany,Master degree,35-44 years old,3.0,66128.0
Ukraine,Master degree,25-34 years old,7.0,67105.0
Netherlands,Master degree,35-44 years old,17.0,116015.0
United States of America,Bachelor degree,25-34 years old,7.0,170000.0
France,Master degree,25-34 years old,4.0,41765.0
France,Post grad,35-44 years old,11.0,92812.0
France,Master degree,25-34 years old,7.0,55687.0
United States of America,Less than a Bachelors,55-64 years old,30.0,155000.0
United States of America,Bachelor degree,25-34 years old,11.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,7.0,163370.0
Spain,Less than a Bachelors,18-24 years old,1.0,10692.0
Germany,Master degree,35-44 years old,18.0,75410.0
United States of America,Less than a Bachelors,35-44 years old,9.0,150000.0
France,Less than a Bachelors,25-34 years old,13.0,59167.0
United States of America,Bachelor degree,18-24 years old,3.0,45480.0
Brazil,Less than a Bachelors,25-34 years old,14.0,109222.0
Italy,Master degree,35-44 years old,18.0,39445.0
United States of America,Less than a Bachelors,45-54 years old,11.0,120000.0
United States of America,Less than a Bachelors,45-54 years old,25.0,131850.0
Spain,Master degree,35-44 years old,14.0,60328.0
Australia,Bachelor degree,25-34 years old,10.0,91013.0
Germany,Master degree,35-44 years old,14.0,112534.0
United States of America,Bachelor degree,35-44 years old,11.0,140000.0
United States of America,Master degree,25-34 years old,7.0,141000.0
United States of America,Bachelor degree,35-44 years old,18.0,100000.0
United States of America,Bachelor degree,25-34 years old,6.0,139000.0
Netherlands,Bachelor degree,35-44 years old,11.0,84691.0
United States of America,Bachelor degree,45-54 years old,15.0,124000.0
Canada,Bachelor degree,35-44 years old,20.0,90468.0
Brazil,Master degree,35-44 years old,11.0,27306.0
United States of America,Bachelor degree,35-44 years old,18.0,180000.0
Canada,Bachelor degree,45-54 years old,23.0,94846.0
United States of America,Less than a Bachelors,55-64 years old,40.0,70000.0
United States of America,Bachelor degree,45-54 years old,22.0,150000.0
United States of America,Bachelor degree,25-34 years old,11.0,95000.0
Germany,Post grad,35-44 years old,18.0,139218.0
Brazil,Less than a Bachelors,25-34 years old,3.0,10922.0
Netherlands,Master degree,25-34 years old,11.0,104413.0
India,Bachelor degree,45-54 years old,23.0,74393.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,18-24 years old,3.0,26139.0
Spain,Less than a Bachelors,25-34 years old,5.0,243631.0
United States of America,Less than a Bachelors,35-44 years old,8.0,200000.0
Italy,Master degree,45-54 years old,21.0,47566.0
United States of America,Post grad,45-54 years old,25.0,175000.0
Australia,Bachelor degree,65 years or older,31.0,83434.0
Canada,Bachelor degree,45-54 years old,30.0,86820.0
United States of America,Bachelor degree,45-54 years old,35.0,147000.0
Germany,Less than a Bachelors,25-34 years old,15.0,16242.0
United States of America,Less than a Bachelors,35-44 years old,12.0,30000.0
Germany,Bachelor degree,25-34 years old,5.0,116015.0
Germany,Bachelor degree,35-44 years old,12.0,106733.0
Germany,Post grad,35-44 years old,10.0,110214.0
Germany,Bachelor degree,25-34 years old,3.0,63808.0
India,Bachelor degree,25-34 years old,2.0,20923.0
Italy,Less than a Bachelors,18-24 years old,5.0,42925.0
India,Bachelor degree,25-34 years old,10.0,40684.0
Germany,Post grad,35-44 years old,15.0,81210.0
Italy,Bachelor degree,35-44 years old,5.0,25523.0
Canada,Master degree,55-64 years old,32.0,124029.0
France,Less than a Bachelors,25-34 years old,12.0,74249.0
Germany,Bachelor degree,45-54 years old,17.0,62648.0
United Kingdom of Great Britain and Northern Ireland,Post grad,35-44 years old,10.0,108913.0
United States of America,Bachelor degree,35-44 years old,15.0,135000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,16.0,70794.0
Germany,Master degree,45-54 years old,20.0,116015.0
United States of America,Bachelor degree,25-34 years old,4.0,102000.0
India,Bachelor degree,18-24 years old,1.0,15867.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,11.0,117082.0
Germany,Less than a Bachelors,25-34 years old,10.0,52207.0
Germany,Master degree,25-34 years old,2.0,73089.0
Canada,Bachelor degree,55-64 years old,27.0,80254.0
United States of America,Bachelor degree,35-44 years old,16.0,225000.0
India,Master degree,35-44 years old,16.0,46496.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,32.0,117082.0
Spain,Post grad,55-64 years old,35.0,75410.0
United States of America,Bachelor degree,25-34 years old,4.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25-34 years old,9.0,61264.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,7.0,174261.0
United States of America,Bachelor degree,25-34 years old,11.0,250000.0
Germany,Post grad,35-44 years old,12.0,87011.0
United States of America,Less than a Bachelors,25-34 years old,1.0,43000.0
Germany,Master degree,35-44 years old,13.0,87011.0
Ukraine,Master degree,35-44 years old,13.0,41605.0
Germany,Bachelor degree,35-44 years old,18.0,98612.0
United States of America,Master degree,25-34 years old,8.0,140000.0
Ukraine,Master degree,25-34 years old,7.0,47000.0
United States of America,Master degree,35-44 years old,13.0,118000.0
United States of America,Bachelor degree,35-44 years old,19.0,185000.0
United States of America,Bachelor degree,25-34 years old,13.0,175000.0
India,Bachelor degree,18-24 years old,1.0,153436.0
United States of America,Master degree,35-44 years old,22.0,210000.0
Canada,Bachelor degree,55-64 years old,32.0,102142.0
United States of America,Bachelor degree,45-54 years old,18.0,225000.0
Germany,Less than a Bachelors,35-44 years old,10.0,110214.0
United States of America,Bachelor degree,35-44 years old,14.0,150000.0
United States of America,Bachelor degree,25-34 years old,5.0,72000.0
Canada,Bachelor degree,45-54 years old,27.0,161968.0
United States of America,Less than a Bachelors,18-24 years old,5.0,82000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,17.0,231441.0
United States of America,Bachelor degree,35-44 years old,11.0,160000.0
United States of America,Master degree,45-54 years old,30.0,200000.0
United States of America,Post grad,45-54 years old,8.0,110000.0
United States of America,Master degree,45-54 years old,33.0,145000.0
Germany,Master degree,25-34 years old,3.0,54527.0
Canada,Bachelor degree,18-24 years old,1.0,69310.0
Canada,Less than a Bachelors,25-34 years old,5.0,74418.0
United States of America,Bachelor degree,25-34 years old,10.0,104000.0
United States of America,Post grad,35-44 years old,13.0,160000.0
United States of America,Master degree,35-44 years old,12.0,40000.0
United States of America,Less than a Bachelors,25-34 years old,9.0,130000.0
Germany,Less than a Bachelors,35-44 years old,22.0,104413.0
United States of America,Bachelor degree,25-34 years old,6.0,93000.0
United States of America,Master degree,35-44 years old,13.0,190000.0
Germany,Bachelor degree,25-34 years old,8.0,89331.0
United States of America,Less than a Bachelors,25-34 years old,15.0,30000.0
United States of America,Bachelor degree,35-44 years old,14.0,130000.0
United States of America,Bachelor degree,55-64 years old,27.0,150000.0
United States of America,Bachelor degree,25-34 years old,2.0,133000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,30.0,74878.0
United States of America,Bachelor degree,35-44 years old,19.0,150000.0
United States of America,Bachelor degree,35-44 years old,14.0,99360.0
Canada,Bachelor degree,35-44 years old,20.0,94846.0
United States of America,Less than a Bachelors,25-34 years old,6.0,72000.0
Australia,Master degree,35-44 years old,23.0,126768.0
United States of America,Bachelor degree,65 years or older,50.0,102000.0
United States of America,Master degree,25-34 years old,1.0,122000.0
United States of America,Bachelor degree,25-34 years old,6.0,140000.0
Brazil,Less than a Bachelors,45-54 years old,23.0,19114.0
Australia,Bachelor degree,45-54 years old,21.0,96864.0
United States of America,Less than a Bachelors,18-24 years old,3.0,35000.0
United States of America,Bachelor degree,25-34 years old,7.0,110000.0
United States of America,Bachelor degree,35-44 years old,26.0,128000.0
United States of America,Less than a Bachelors,18-24 years old,6.0,30000.0
United States of America,Master degree,25-34 years old,5.0,85000.0
Netherlands,Master degree,55-64 years old,30.0,116015.0
Australia,Bachelor degree,25-34 years old,10.0,104015.0
India,Master degree,35-44 years old,15.0,23248.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25-34 years old,6.0,67390.0
United States of America,Bachelor degree,25-34 years old,6.0,84000.0
Netherlands,Less than a Bachelors,18-24 years old,4.0,31742.0
Netherlands,Bachelor degree,25-34 years old,14.0,87011.0
France,Bachelor degree,25-34 years old,8.0,116015.0
United States of America,Bachelor degree,35-44 years old,10.0,97000.0
Germany,Less than a Bachelors,35-44 years old,20.0,98612.0
France,Master degree,35-44 years old,20.0,81210.0
France,Post grad,35-44 years old,20.0,75410.0
Netherlands,Master degree,25-34 years old,3.0,69609.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,25.0,58541.0
Ukraine,Master degree,25-34 years old,9.0,40263.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,8.0,57588.0
Australia,Master degree,45-54 years old,20.0,113116.0
Spain,Less than a Bachelors,35-44 years old,11.0,110000.0
France,Less than a Bachelors,25-34 years old,6.0,74249.0
Germany,Less than a Bachelors,25-34 years old,9.0,81210.0
Germany,Master degree,55-64 years old,30.0,116015.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,10.0,54457.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,11.0,50042.0
Germany,Bachelor degree,18-24 years old,4.0,52207.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,8.0,84408.0
Germany,Master degree,35-44 years old,17.0,104413.0
Germany,Less than a Bachelors,55-64 years old,29.0,92812.0
India,Master degree,25-34 years old,8.0,51145.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,17.0,122527.0
France,Master degree,18-24 years old,2.0,41765.0
Brazil,Master degree,45-54 years old,31.0,58980.0
Netherlands,Master degree,55-64 years old,33.0,93972.0
Germany,Master degree,25-34 years old,5.0,75410.0
Germany,Master degree,35-44 years old,12.0,93044.0
Spain,Master degree,25-34 years old,11.0,145018.0
United States of America,Bachelor degree,45-54 years old,20.0,226000.0
Germany,Less than a Bachelors,35-44 years old,15.0,92812.0
Germany,Bachelor degree,25-34 years old,5.0,64968.0
France,Master degree,25-34 years old,3.0,24363.0
Germany,Less than a Bachelors,55-64 years old,32.0,81210.0
France,Post grad,25-34 years old,15.0,118335.0
United Kingdom of Great Britain and Northern Ireland,Post grad,55-64 years old,37.0,70794.0
Netherlands,Post grad,25-34 years old,2.0,58007.0
United States of America,Bachelor degree,25-34 years old,1.0,40000.0
Ukraine,Master degree,25-34 years old,6.0,11983.0
United States of America,Master degree,35-44 years old,18.0,165000.0
Spain,Less than a Bachelors,18-24 years old,1.0,23203.0
Brazil,Less than a Bachelors,25-34 years old,8.0,34496.0
United States of America,Bachelor degree,45-54 years old,24.0,210000.0
Brazil,Master degree,35-44 years old,20.0,14563.0
Germany,Post grad,35-44 years old,20.0,97452.0
United Kingdom of Great Britain and Northern Ireland,Post grad,45-54 years old,26.0,127973.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,27.0,129334.0
France,Master degree,35-44 years old,11.0,52207.0
Germany,Bachelor degree,25-34 years old,7.0,98612.0
France,Less than a Bachelors,25-34 years old,8.0,69609.0
Italy,Bachelor degree,25-34 years old,10.0,52207.0
Canada,Bachelor degree,35-44 years old,18.0,240763.0
United States of America,Less than a Bachelors,35-44 years old,26.0,185000.0
India,Bachelor degree,25-34 years old,4.0,20923.0
Germany,Master degree,25-34 years old,10.0,127616.0
United Kingdom of Great Britain and Northern Ireland,Post grad,25-34 years old,10.0,117082.0
United States of America,Bachelor degree,55-64 years old,36.0,180000.0
India,Bachelor degree,25-34 years old,8.0,39521.0
India,Bachelor degree,25-34 years old,4.0,11624.0
Germany,Bachelor degree,25-34 years old,7.0,104413.0
India,Bachelor degree,25-34 years old,6.0,16274.0
United States of America,Post grad,55-64 years old,25.0,200000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,14.0,108913.0
Netherlands,Bachelor degree,45-54 years old,20.0,81210.0
France,Post grad,35-44 years old,15.0,65490.0
United States of America,Bachelor degree,35-44 years old,8.0,93000.0
United States of America,Bachelor degree,25-34 years old,4.0,100000.0
Germany,Bachelor degree,35-44 years old,10.0,127616.0
Canada,Bachelor degree,35-44 years old,15.0,99953.0
Canada,Bachelor degree,18-24 years old,1.0,70574.0
India,Master degree,25-34 years old,3.0,58120.0
United States of America,Post grad,35-44 years old,6.0,230000.0
Ukraine,Master degree,25-34 years old,7.0,65780.0
Spain,Post grad,25-34 years old,8.0,52207.0
Germany,Master degree,45-54 years old,26.0,98612.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,4.0,136141.0
Netherlands,Master degree,45-54 years old,25.0,104413.0
France,Master degree,35-44 years old,11.0,75410.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,28.0,156563.0
Italy,Bachelor degree,25-34 years old,7.0,52207.0
Brazil,Master degree,45-54 years old,10.0,15291.0
Canada,Bachelor degree,25-34 years old,7.0,80254.0
Germany,Master degree,25-34 years old,11.0,107894.0
Germany,Less than a Bachelors,35-44 years old,20.0,104413.0
Germany,Master degree,25-34 years old,12.0,110214.0
Canada,Bachelor degree,25-34 years old,3.0,49976.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,19.0,60496.0
Ukraine,Bachelor degree,18-24 years old,2.0,12971.0
United States of America,Bachelor degree,35-44 years old,20.0,210000.0
Canada,Bachelor degree,35-44 years old,17.0,72958.0
United States of America,Less than a Bachelors,25-34 years old,14.0,160000.0
United States of America,Less than a Bachelors,35-44 years old,22.0,120000.0
United States of America,Master degree,25-34 years old,7.0,150000.0
Canada,Bachelor degree,25-34 years old,8.0,118193.0
Spain,Master degree,18-24 years old,3.0,26335.0
India,Bachelor degree,18-24 years old,1.0,19180.0
Germany,Master degree,35-44 years old,14.0,121815.0
United States of America,Master degree,45-54 years old,26.0,170000.0
United States of America,Bachelor degree,45-54 years old,25.0,150000.0
Italy,Less than a Bachelors,55-64 years old,30.0,46406.0
Germany,Less than a Bachelors,25-34 years old,8.0,69609.0
Germany,Master degree,35-44 years old,12.0,120655.0
Brazil,Bachelor degree,45-54 years old,25.0,25485.0
United States of America,Bachelor degree,35-44 years old,22.0,165000.0
United States of America,Less than a Bachelors,18-24 years old,3.0,65000.0
Canada,Master degree,55-64 years old,42.0,164156.0
France,Master degree,25-34 years old,10.0,60328.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,9.0,163370.0
United States of America,Less than a Bachelors,55-64 years old,35.0,220000.0
Germany,Master degree,25-34 years old,1.0,55687.0
Germany,Bachelor degree,25-34 years old,10.0,104413.0
Spain,Bachelor degree,35-44 years old,8.0,110214.0
India,Bachelor degree,25-34 years old,6.0,38359.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,8.0,95299.0
Spain,Bachelor degree,18-24 years old,1.0,27844.0
United States of America,Bachelor degree,35-44 years old,19.0,173000.0
Italy,Master degree,45-54 years old,15.0,58007.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,105580.0
Netherlands,Bachelor degree,25-34 years old,7.0,72393.0
Germany,Master degree,45-54 years old,25.0,125296.0
United States of America,Bachelor degree,35-44 years old,15.0,203000.0
United States of America,Bachelor degree,35-44 years old,5.0,85000.0
Germany,Master degree,45-54 years old,15.0,162421.0
Canada,Post grad,55-64 years old,32.0,102142.0
United States of America,Bachelor degree,25-34 years old,15.0,85000.0
France,Master degree,25-34 years old,13.0,58742.0
Ukraine,Bachelor degree,18-24 years old,3.0,11983.0
Netherlands,Master degree,35-44 years old,9.0,208826.0
United States of America,Less than a Bachelors,45-54 years old,25.0,200000.0
United States of America,Bachelor degree,25-34 years old,3.0,240000.0
Netherlands,Master degree,18-24 years old,7.0,75410.0
United States of America,Bachelor degree,35-44 years old,5.0,250000.0
United States of America,Bachelor degree,35-44 years old,18.0,170000.0
Germany,Master degree,45-54 years old,15.0,92812.0
Italy,Master degree,45-54 years old,25.0,127616.0
Brazil,Less than a Bachelors,25-34 years old,11.0,72815.0
Germany,Bachelor degree,25-34 years old,10.0,87011.0
Germany,Less than a Bachelors,25-34 years old,6.0,69609.0
United States of America,Less than a Bachelors,35-44 years old,15.0,124000.0
Germany,Master degree,35-44 years old,9.0,60328.0
Germany,Master degree,25-34 years old,3.0,87011.0
United States of America,Bachelor degree,55-64 years old,33.0,190000.0
United States of America,Less than a Bachelors,18-24 years old,2.0,60000.0
United States of America,Master degree,25-34 years old,9.0,150000.0
Spain,Less than a Bachelors,25-34 years old,2.0,32484.0
Germany,Master degree,55-64 years old,31.0,75410.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,104829.0
Ukraine,Bachelor degree,18-24 years old,1.0,14380.0
United States of America,Master degree,35-44 years old,21.0,210000.0
Brazil,Bachelor degree,25-34 years old,12.0,54000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,15.0,68071.0
United States of America,Bachelor degree,25-34 years old,11.0,240000.0
United States of America,Bachelor degree,25-34 years old,12.0,94000.0
India,Bachelor degree,25-34 years old,3.0,13949.0
United States of America,Less than a Bachelors,35-44 years old,15.0,125000.0
United States of America,Master degree,25-34 years old,9.0,111000.0
United States of America,Master degree,55-64 years old,37.0,160000.0
United States of America,Bachelor degree,35-44 years old,12.0,105000.0
Netherlands,Bachelor degree,25-34 years old,15.0,88171.0
Germany,Less than a Bachelors,18-24 years old,2.0,61488.0
United States of America,Bachelor degree,45-54 years old,31.0,240000.0
France,Less than a Bachelors,35-44 years old,15.0,40867.0
Germany,Less than a Bachelors,45-54 years old,30.0,94552.0
United States of America,Less than a Bachelors,18-24 years old,3.0,118000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,55-64 years old,35.0,74878.0
United States of America,Bachelor degree,25-34 years old,16.0,167000.0
Germany,Master degree,25-34 years old,8.0,55687.0
Brazil,Bachelor degree,35-44 years old,17.0,27306.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,12.0,129334.0
Canada,Bachelor degree,25-34 years old,5.0,109438.0
Brazil,Less than a Bachelors,25-34 years old,9.0,74271.0
France,Post grad,35-44 years old,12.0,83531.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,8.0,122527.0
United States of America,Bachelor degree,35-44 years old,15.0,137245.0
United States of America,Bachelor degree,18-24 years old,4.0,65000.0
Italy,Less than a Bachelors,45-54 years old,15.0,41765.0
Spain,Bachelor degree,25-34 years old,2.0,23203.0
France,Bachelor degree,25-34 years old,2.0,51046.0
Netherlands,Bachelor degree,35-44 years old,15.0,104413.0
United States of America,Bachelor degree,25-34 years old,12.0,210000.0
Germany,Bachelor degree,45-54 years old,24.0,110214.0
Germany,Bachelor degree,35-44 years old,14.0,54382.0
United States of America,Bachelor degree,35-44 years old,19.0,155000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,18-24 years old,6.0,43565.0
Brazil,Less than a Bachelors,18-24 years old,5.0,21844.0
Brazil,Bachelor degree,25-34 years old,9.0,36407.0
Australia,Less than a Bachelors,18-24 years old,2.0,71510.0
Australia,Less than a Bachelors,45-54 years old,26.0,120267.0
Australia,Bachelor degree,45-54 years old,32.0,110516.0
Australia,Bachelor degree,18-24 years old,1.0,61759.0
United States of America,Bachelor degree,25-34 years old,4.0,130000.0
United States of America,Bachelor degree,55-64 years old,39.0,92000.0
Canada,Bachelor degree,18-24 years old,4.0,72958.0
United States of America,Less than a Bachelors,55-64 years old,18.0,30000.0
United States of America,Bachelor degree,18-24 years old,1.0,87000.0
United States of America,Bachelor degree,18-24 years old,2.0,90000.0
United States of America,Bachelor degree,35-44 years old,15.0,180000.0
United States of America,Post grad,25-34 years old,7.0,170000.0
United States of America,Master degree,35-44 years old,20.0,200000.0
United States of America,Bachelor degree,25-34 years old,10.0,180000.0
United States of America,Master degree,45-54 years old,30.0,120000.0
United States of America,Bachelor degree,25-34 years old,13.0,220000.0
United States of America,Master degree,35-44 years old,21.0,238000.0
India,Master degree,35-44 years old,14.0,58120.0
France,Bachelor degree,25-34 years old,7.0,37125.0
Canada,Bachelor degree,35-44 years old,10.0,149565.0
United States of America,Bachelor degree,35-44 years old,17.0,164000.0
Australia,Master degree,35-44 years old,25.0,71510.0
Canada,Master degree,25-34 years old,10.0,91198.0
Canada,Less than a Bachelors,25-34 years old,8.0,86631.0
United States of America,Master degree,35-44 years old,20.0,190000.0
Australia,Bachelor degree,45-54 years old,30.0,97514.0
United States of America,Bachelor degree,35-44 years old,5.0,148000.0
United States of America,Bachelor degree,25-34 years old,8.0,185000.0
United States of America,Master degree,35-44 years old,18.0,195000.0
United States of America,Master degree,35-44 years old,15.0,120000.0
United States of America,Bachelor degree,35-44 years old,22.0,250000.0
United States of America,Less than a Bachelors,18-24 years old,1.0,22000.0
United States of America,Bachelor degree,25-34 years old,11.0,145000.0
United States of America,Bachelor degree,45-54 years old,25.0,159000.0
United States of America,Less than a Bachelors,18-24 years old,2.0,48000.0
United States of America,Less than a Bachelors,55-64 years old,31.0,180000.0
Australia,Bachelor degree,45-54 years old,28.0,81262.0
Canada,Master degree,45-54 years old,19.0,97035.0
Australia,Less than a Bachelors,25-34 years old,5.0,71510.0
Ukraine,Bachelor degree,18-24 years old,4.0,44000.0
India,Bachelor degree,35-44 years old,25.0,58120.0
United States of America,Bachelor degree,35-44 years old,20.0,130000.0
India,Bachelor degree,25-34 years old,8.0,27898.0
United States of America,Bachelor degree,35-44 years old,16.0,160000.0
Netherlands,Master degree,55-64 years old,30.0,116015.0
Germany,Less than a Bachelors,25-34 years old,13.0,58007.0
Italy,Less than a Bachelors,45-54 years old,20.0,52207.0
India,Bachelor degree,35-44 years old,16.0,46496.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,19.0,129334.0
United States of America,Master degree,45-54 years old,33.0,140000.0
Australia,Post grad,35-44 years old,17.0,81262.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,9.0,102106.0
Italy,Less than a Bachelors,45-54 years old,18.0,46406.0
India,Bachelor degree,18-24 years old,2.0,14832.0
India,Bachelor degree,18-24 years old,2.0,13949.0
Netherlands,Master degree,55-64 years old,28.0,52207.0
Spain,Bachelor degree,25-34 years old,12.0,53367.0
India,Bachelor degree,18-24 years old,3.0,41846.0
France,Master degree,55-64 years old,32.0,81210.0
France,Bachelor degree,45-54 years old,30.0,55687.0
Germany,Bachelor degree,18-24 years old,10.0,62648.0
Italy,Post grad,35-44 years old,24.0,32484.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,6.0,62625.0
Italy,Master degree,45-54 years old,20.0,44086.0
Spain,Bachelor degree,25-34 years old,10.0,89331.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,2.0,43565.0
Italy,Master degree,35-44 years old,18.0,46406.0
Italy,Master degree,25-34 years old,7.0,69609.0
India,Bachelor degree,35-44 years old,19.0,104616.0
Germany,Master degree,25-34 years old,9.0,116015.0
France,Post grad,25-34 years old,2.0,82370.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,18.0,76239.0
France,Master degree,55-64 years old,35.0,60328.0
Germany,Master degree,35-44 years old,18.0,185623.0
Ukraine,Bachelor degree,18-24 years old,2.0,14400.0
France,Master degree,25-34 years old,1.0,44666.0
Ukraine,Master degree,45-54 years old,16.0,119831.0
India,Master degree,25-34 years old,3.0,10462.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,14.0,57179.0
Spain,Bachelor degree,45-54 years old,23.0,73669.0
Netherlands,Bachelor degree,25-34 years old,3.0,48262.0
Italy,Less than a Bachelors,35-44 years old,14.0,46406.0
Italy,Less than a Bachelors,45-54 years old,25.0,69609.0
France,Less than a Bachelors,45-54 years old,27.0,46406.0
Ukraine,Master degree,25-34 years old,10.0,80000.0
United Kingdom of Great Britain and Northern Ireland,Post grad,35-44 years old,10.0,73516.0
Spain,Less than a Bachelors,25-34 years old,10.0,139218.0
India,Bachelor degree,25-34 years old,2.0,16274.0
Germany,Bachelor degree,35-44 years old,19.0,81572.0
Italy,Less than a Bachelors,35-44 years old,20.0,49886.0
India,Bachelor degree,25-34 years old,4.0,15692.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,6.0,68071.0
United Kingdom of Great Britain and Northern Ireland,Master degree,45-54 years old,22.0,69820.0
Germany,Bachelor degree,25-34 years old,8.0,76570.0
Italy,Less than a Bachelors,18-24 years old,5.0,47566.0
United States of America,Less than a Bachelors,35-44 years old,16.0,225000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,5.0,70652.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,20.0,112997.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,61264.0
Netherlands,Master degree,45-54 years old,30.0,75410.0
Spain,Less than a Bachelors,18-24 years old,3.0,17402.0
United Kingdom of Great Britain and Northern Ireland,Post grad,25-34 years old,4.0,99383.0
Ukraine,Post grad,45-54 years old,25.0,76692.0
Italy,Bachelor degree,25-34 years old,6.0,40605.0
Canada,Master degree,35-44 years old,19.0,145917.0
France,Master degree,25-34 years old,7.0,69609.0
United States of America,Master degree,35-44 years old,26.0,165000.0
France,Bachelor degree,35-44 years old,11.0,59167.0
India,Bachelor degree,25-34 years old,8.0,51145.0
United States of America,Master degree,25-34 years old,3.0,132000.0
Spain,Master degree,25-34 years old,4.0,20883.0
Ukraine,Master degree,25-34 years old,5.0,45600.0
United States of America,Bachelor degree,35-44 years old,15.0,175000.0
Germany,Master degree,35-44 years old,16.0,162421.0
India,Bachelor degree,25-34 years old,4.0,49983.0
Ukraine,Master degree,35-44 years old,14.0,81485.0
United States of America,Bachelor degree,35-44 years old,25.0,125000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25-34 years old,13.0,25186.0
Ukraine,Master degree,25-34 years old,9.0,96735.0
United Kingdom of Great Britain and Northern Ireland,Post grad,35-44 years old,11.0,83046.0
France,Bachelor degree,35-44 years old,18.0,67289.0
United States of America,Bachelor degree,55-64 years old,40.0,96000.0
France,Master degree,25-34 years old,7.0,58007.0
Spain,Less than a Bachelors,35-44 years old,8.0,45246.0
India,Less than a Bachelors,25-34 years old,5.0,21621.0
India,Master degree,25-34 years old,5.0,29060.0
United Kingdom of Great Britain and Northern Ireland,Post grad,25-34 years old,5.0,77383.0
Spain,Master degree,45-54 years old,20.0,34804.0
United States of America,Bachelor degree,25-34 years old,6.0,215000.0
United States of America,Bachelor degree,45-54 years old,17.0,154000.0
United States of America,Bachelor degree,35-44 years old,17.0,180000.0
Germany,Post grad,55-64 years old,32.0,120655.0
Germany,Bachelor degree,35-44 years old,11.0,127616.0
France,Master degree,25-34 years old,7.0,75410.0
France,Master degree,35-44 years old,7.0,48030.0
Spain,Bachelor degree,55-64 years old,38.0,69609.0
United Kingdom of Great Britain and Northern Ireland,Post grad,45-54 years old,28.0,149756.0
Canada,Bachelor degree,35-44 years old,6.0,94846.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,6.0,77601.0
India,Master degree,25-34 years old,2.0,11624.0
United States of America,Less than a Bachelors,35-44 years old,21.0,210000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,13.0,51734.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,99383.0
Australia,Master degree,45-54 years old,21.0,91013.0
Netherlands,Master degree,25-34 years old,1.0,48726.0
France,Master degree,35-44 years old,18.0,52207.0
Canada,Master degree,25-34 years old,3.0,52530.0
Germany,Master degree,25-34 years old,3.0,67799.0
