Country,YearsCodePro,Employment,EdLevel,ConvertedCompYearly,OrgSize,Age
Brazil,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20514.0,20 to 99 employees,18-24 years old
United States of America,30.0,"Employed, full-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,Other,45-54 years old
Australia,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",93153.0,20 to 99 employees,25-34 years old
France,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",64444.0,"1,000 to 4,999 employees",25-34 years old
France,25.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",96666.0,"1,000 to 4,999 employees",45-54 years old
United Kingdom of Great Britain and Northern Ireland,15.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"5,000 to 9,999 employees",35-44 years old
United States of America,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",114000.0,"10,000 or more employees",25-34 years old
India,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20816.0,100 to 499 employees,18-24 years old
Italy,1.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25777.0,Other,25-34 years old
United States of America,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",86500.0,"10,000 or more employees",25-34 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",160000.0,100 to 499 employees,25-34 years old
Germany,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",73036.0,100 to 499 employees,25-34 years old
Italy,3.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45111.0,"10,000 or more employees",25-34 years old
United States of America,5.0,"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23000.0,Other,25-34 years old
Denmark,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",129602.0,100 to 499 employees,25-34 years old
United States of America,12.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",120120.0,"5,000 to 9,999 employees",25-34 years old
United States of America,14.0,"Employed, full-time",Some college/university study without earning a degree,210000.0,Other,25-34 years old
United States of America,4.0,"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",155000.0,20 to 99 employees,25-34 years old
Germany,14.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",109554.0,100 to 499 employees,35-44 years old
France,4.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",61222.0,100 to 499 employees,25-34 years old
Netherlands,17.0,"Employed, part-time",Some college/university study without earning a degree,60147.0,20 to 99 employees,35-44 years old
Sweden,20.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",95384.0,"1,000 to 4,999 employees",35-44 years old
India,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4068.0,100 to 499 employees,25-34 years old
Chile,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25996.0,"1,000 to 4,999 employees",25-34 years old
United States of America,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",136000.0,Other,25-34 years old
United States of America,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,"10,000 or more employees",25-34 years old
"Venezuela, Bolivarian Republic of...",8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28800.0,20 to 99 employees,25-34 years old
Lithuania,3.0,"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",43736.0,"10,000 or more employees",18-24 years old
Ukraine,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",49368.0,"10,000 or more employees",25-34 years old
Austria,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",60147.0,100 to 499 employees,25-34 years old
United States of America,5.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",160000.0,20 to 99 employees,35-44 years old
United States of America,45.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",140000.0,100 to 499 employees,65 years or older
Germany,20.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",69814.0,20 to 99 employees,35-44 years old
Portugal,5.0,"Employed, full-time",Some college/university study without earning a degree,35444.0,"10,000 or more employees",25-34 years old
United States of America,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0,"10,000 or more employees",25-34 years old
United States of America,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",159000.0,20 to 99 employees,25-34 years old
Ukraine,,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3497.0000000000005,20 to 99 employees,35-44 years old
United Kingdom of Great Britain and Northern Ireland,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,20 to 99 employees,25-34 years old
Sweden,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",51865.0,100 to 499 employees,35-44 years old
Germany,4.0,"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6444.0,Other,18-24 years old
Poland,6.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",49493.0,Other,25-34 years old
United States of America,6.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75000.0,500 to 999 employees,25-34 years old
Canada,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36346.0,Other,25-34 years old
United States of America,3.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",105000.0,"1,000 to 4,999 employees",25-34 years old
United Kingdom of Great Britain and Northern Ireland,21.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",127388.0,500 to 999 employees,35-44 years old
Colombia,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3497.0000000000005,20 to 99 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",44586.0,Other,25-34 years old
"Venezuela, Bolivarian Republic of...",5.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9600.0,100 to 499 employees,25-34 years old
Canada,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",109039.0,100 to 499 employees,25-34 years old
France,11.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",96666.0,20 to 99 employees,25-34 years old
United States of America,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",132000.0,"1,000 to 4,999 employees",25-34 years old
Canada,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",167194.0,500 to 999 employees,25-34 years old
Sweden,18.0,"Employed, full-time",Some college/university study without earning a degree,72301.0,500 to 999 employees,45-54 years old
Germany,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",74110.0,500 to 999 employees,25-34 years old
United States of America,10.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",96000.0,"10,000 or more employees",35-44 years old
Canada,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",87231.0,"1,000 to 4,999 employees",18-24 years old
Australia,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",74655.0,20 to 99 employees,25-34 years old
Canada,30.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,100 to 499 employees,45-54 years old
Italy,15.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37592.0,Other,45-54 years old
United States of America,11.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",120000.0,"5,000 to 9,999 employees",35-44 years old
Netherlands,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",112777.0,Other,35-44 years old
United Kingdom of Great Britain and Northern Ireland,8.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",114649.0,Other,25-34 years old
United States of America,4.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",130000.0,"1,000 to 4,999 employees",25-34 years old
United States of America,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",200000.0,500 to 999 employees,25-34 years old
Canada,49.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",43616.0,Other,65 years or older
Netherlands,9.0,"Employed, full-time",Some college/university study without earning a degree,88073.0,"10,000 or more employees",25-34 years old
Canada,24.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",203540.0,500 to 999 employees,45-54 years old
Ukraine,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",51984.0,100 to 499 employees,25-34 years old
United States of America,15.0,"Employed, full-time",Some college/university study without earning a degree,210000.0,Other,35-44 years old
United States of America,24.0,"Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",110000.0,Other,55-64 years old
Canada,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"1,000 to 4,999 employees",25-34 years old
United Kingdom of Great Britain and Northern Ireland,12.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",82802.0,20 to 99 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",124840.0,100 to 499 employees,25-34 years old
Ukraine,19.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5924.0,20 to 99 employees,35-44 years old
United States of America,14.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,500 to 999 employees,35-44 years old
United Kingdom of Great Britain and Northern Ireland,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",63694.0,20 to 99 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,29.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",127388.0,"1,000 to 4,999 employees",45-54 years old
United States of America,24.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",117000.0,"1,000 to 4,999 employees",45-54 years old
United States of America,34.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",191000.0,"10,000 or more employees",55-64 years old
United States of America,6.0,"Employed, full-time",Some college/university study without earning a degree,125000.0,20 to 99 employees,25-34 years old
France,40.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",48333.0,Other,55-64 years old
Germany,25.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,"1,000 to 4,999 employees",45-54 years old
United States of America,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",127000.0,100 to 499 employees,25-34 years old
United States of America,8.0,"Employed, full-time",Some college/university study without earning a degree,148000.0,100 to 499 employees,25-34 years old
United States of America,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",117879.0,"5,000 to 9,999 employees",18-24 years old
United States of America,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"10,000 or more employees",25-34 years old
Denmark,48.0,"Independent contractor, freelancer, or self-employed;Retired","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",144002.0,Other,65 years or older
United States of America,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0,500 to 999 employees,35-44 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",181000.0,500 to 999 employees,18-24 years old
Ireland,30.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",66592.0,100 to 499 employees,55-64 years old
Russian Federation,4.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",33680.0,100 to 499 employees,25-34 years old
Germany,0.5,"Student, full-time;Employed, part-time",Some college/university study without earning a degree,6934.0,Other,18-24 years old
Canada,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",149020.0,"1,000 to 4,999 employees",25-34 years old
Germany,5.0,"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42962.0,"1,000 to 4,999 employees",25-34 years old
United States of America,3.0,"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",60000.0,500 to 999 employees,25-34 years old
United States of America,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",130000.0,100 to 499 employees,25-34 years old
United States of America,20.0,"Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",170000.0,Other,45-54 years old
Sweden,14.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",162153.0,20 to 99 employees,35-44 years old
Belgium,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",62296.0,"5,000 to 9,999 employees",25-34 years old
Sweden,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",59138.0,"10,000 or more employees",25-34 years old
United States of America,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",110000.0,"10,000 or more employees",45-54 years old
United States of America,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",185000.0,Other,45-54 years old
United States of America,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",72000.0,100 to 499 employees,25-34 years old
Ukraine,0.5,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24000.0,"5,000 to 9,999 employees",35-44 years old
France,8.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",107406.0,Other,25-34 years old
United States of America,1.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",125000.0,"1,000 to 4,999 employees",18-24 years old
Sweden,6.0,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19077.0,Other,35-44 years old
Sweden,5.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",36628.0,Other,25-34 years old
Israel,12.0,"Employed, full-time",Some college/university study without earning a degree,116572.0,100 to 499 employees,35-44 years old
Germany,7.0,"Student, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24703.0,20 to 99 employees,25-34 years old
Ireland,27.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",182591.0,"10,000 or more employees",45-54 years old
United States of America,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",120000.0,500 to 999 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,14.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",152865.0,"1,000 to 4,999 employees",35-44 years old
Denmark,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85537.0,500 to 999 employees,25-34 years old
Canada,6.0,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",101770.0,100 to 499 employees,25-34 years old
Belgium,9.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100962.0,Other,25-34 years old
Canada,12.0,"Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",180000.0,Other,45-54 years old
United States of America,18.0,"Employed, full-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",200000.0,"10,000 or more employees",35-44 years old
Chile,6.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45492.0,Other,25-34 years old
Spain,19.0,"Employed, full-time",Some college/university study without earning a degree,107406.0,20 to 99 employees,35-44 years old
Austria,12.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",53703.0,20 to 99 employees,25-34 years old
Ukraine,3.0,"Employed, full-time;Student, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",3497.0000000000005,20 to 99 employees,25-34 years old
Ukraine,23.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45000.0,"1,000 to 4,999 employees",35-44 years old
Brazil,12.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20514.0,"1,000 to 4,999 employees",45-54 years old
United Kingdom of Great Britain and Northern Ireland,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",71337.0,"5,000 to 9,999 employees",18-24 years old
United States of America,21.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",165000.0,20 to 99 employees,35-44 years old
Turkey,11.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29677.0,"10,000 or more employees",25-34 years old
Denmark,4.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",115778.0,20 to 99 employees,25-34 years old
France,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",64444.0,500 to 999 employees,25-34 years old
Switzerland,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",122559.0,"1,000 to 4,999 employees",25-34 years old
France,14.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75184.0,100 to 499 employees,35-44 years old
Israel,,"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",85000.0,"1,000 to 4,999 employees",25-34 years old
Pakistan,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13170.0,100 to 499 employees,25-34 years old
United States of America,21.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,20 to 99 employees,45-54 years old
Netherlands,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",56195.0,Other,25-34 years old
United States of America,18.0,"Employed, full-time",Some college/university study without earning a degree,160000.0,100 to 499 employees,35-44 years old
United States of America,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",140000.0,100 to 499 employees,25-34 years old
Ukraine,4.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",30000.0,20 to 99 employees,18-24 years old
Canada,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",90866.0,20 to 99 employees,35-44 years old
Spain,9.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",107406.0,"1,000 to 4,999 employees",25-34 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",155000.0,"10,000 or more employees",25-34 years old
Colombia,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",51840.0,100 to 499 employees,25-34 years old
Belgium,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",128887.0,20 to 99 employees,25-34 years old
France,14.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",69814.0,20 to 99 employees,35-44 years old
Ukraine,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",60000.0,500 to 999 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",125095.0,"1,000 to 4,999 employees",25-34 years old
United States of America,12.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",180000.0,"10,000 or more employees",45-54 years old
Australia,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",52853.0,Other,25-34 years old
Finland,40.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,Other,55-64 years old
South Africa,2.0,"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23633.0,20 to 99 employees,18-24 years old
United States of America,4.0,"Student, part-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30000.0,"5,000 to 9,999 employees",25-34 years old
United States of America,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",164000.0,100 to 499 employees,25-34 years old
United States of America,4.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",210000.0,500 to 999 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,6.0,"Employed, full-time",Some college/university study without earning a degree,210000.0,"10,000 or more employees",35-44 years old
Ukraine,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30000.0,"1,000 to 4,999 employees",25-34 years old
United States of America,19.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",176800.0,Other,55-64 years old
Brazil,14.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30770.0,20 to 99 employees,25-34 years old
United States of America,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",130000.0,"10,000 or more employees",25-34 years old
Czech Republic,11.0,"Student, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",65152.0,20 to 99 employees,25-34 years old
Denmark,3.0,"Employed, full-time",Some college/university study without earning a degree,86401.0,Other,18-24 years old
South Africa,2.0,"Student, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3767.0,Other,18-24 years old
United States of America,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",141000.0,500 to 999 employees,25-34 years old
Finland,2.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",51555.0,Other,25-34 years old
France,1.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",38666.0,20 to 99 employees,25-34 years old
United States of America,12.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",125000.0,20 to 99 employees,35-44 years old
Germany,6.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",80555.0,100 to 499 employees,25-34 years old
Germany,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",76258.0,"10,000 or more employees",25-34 years old
United Kingdom of Great Britain and Northern Ireland,3.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",114649.0,Other,25-34 years old
Brazil,12.0,"Employed, full-time;Student, part-time",Some college/university study without earning a degree,36365.0,20 to 99 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,2.0,"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21656.0,Other,18-24 years old
United Kingdom of Great Britain and Northern Ireland,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",165604.0,"5,000 to 9,999 employees",25-34 years old
Ireland,23.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",92369.0,"1,000 to 4,999 employees",35-44 years old
Greece,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",137480.0,"1,000 to 4,999 employees",35-44 years old
Mexico,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19946.0,"10,000 or more employees",25-34 years old
Australia,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",85886.0,"10,000 or more employees",25-34 years old
Ukraine,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3497.0000000000005,"1,000 to 4,999 employees",25-34 years old
Germany,3.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",59073.0,20 to 99 employees,25-34 years old
Germany,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",85925.0,"5,000 to 9,999 employees",25-34 years old
Germany,29.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",77332.0,"5,000 to 9,999 employees",55-64 years old
United States of America,38.0,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",120000.0,"10,000 or more employees",55-64 years old
France,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",53703.0,"1,000 to 4,999 employees",25-34 years old
Sweden,14.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",54941.0,100 to 499 employees,25-34 years old
United States of America,11.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",150000.0,"10,000 or more employees",35-44 years old
Poland,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",89087.0,100 to 499 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,13.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",165604.0,500 to 999 employees,35-44 years old
Ukraine,11.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",78407.0,"1,000 to 4,999 employees",25-34 years old
Ukraine,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",55000.0,20 to 99 employees,25-34 years old
Canada,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",87231.0,20 to 99 employees,25-34 years old
United States of America,24.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,100 to 499 employees,45-54 years old
Germany,25.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",80555.0,Other,45-54 years old
"Iran, Islamic Republic of...",2.0,"Student, part-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3564.0,Other,25-34 years old
United States of America,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",170000.0,100 to 499 employees,35-44 years old
United States of America,18.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",187000.0,100 to 499 employees,35-44 years old
United States of America,22.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",166000.0,"10,000 or more employees",45-54 years old
Germany,4.0,"Student, full-time;Employed, part-time",Some college/university study without earning a degree,6444.0,100 to 499 employees,18-24 years old
Netherlands,11.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",75184.0,"1,000 to 4,999 employees",35-44 years old
Italy,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40814.0,100 to 499 employees,25-34 years old
